Key	Value
战斗	Chiến đấu
气感	Khí cảm
处世	Xử thế
炼丹	Luyện đan
烹饪	Nấu nướng
版筑	Xây dựng
农耕	Nông canh
金石	Kim thạch
雅艺	Nhã nghệ
炼器	Luyện khí
斗法	Đấu pháp
丹器	Đan khí
御器	Ngự Khí
术法	Thuật pháp
护体	Hộ Thể
歧黄	Dược kỹ
巧匠	Xảo tượng
神识	Thần thức
根骨	Căn cốt
魅力	Mị lực
悟性	Ngộ tính
机缘	Cơ duyên
痛感	Đau đớn
意识	Ý thức
经脉	Kinh mạch
移动	Di chuyển
身手	Thân thủ
感知	Cảm giác
影响战斗能力。	Ảnh hưởng năng lực chiến đấu.
影响角色灵气最大值。	Ảnh hưởng linh khí tối đa của nhân vật.
影响角色之间互动事件发生的概率，招募角色的概率等。	Ảnh hưởng xác suất xảy ra sự kiện tương tác giữa các nhân vật, khả năng chiêu mộ nhân vật.
影响炼丹时的速度，炼丹时的产量，炼丹时的成功率。	Ảnh hưởng tốc độ luyện đan, sản lượng luyện đan, xác suất luyện đan thành công.
影响烹饪速度，烹饪成功率等。	Ảnh hưởng tốc độ nấu nướng, xác suất nấu nướng thành công.
影响建筑速度，建筑受伤时的概率等。	Ảnh hưởng tốc độ xây dựng, xác suất bị thương.
影响种植作物速度，收获作物产量等。	Ảnh hưởng tốc độ trồng cây, sản lượng thu hoạch.
影响采掘速度，采掘产量等。	Ảnh hưởng tốc độ khai thác, sản lượng khai thác.
影响制作物品品质等。	Ảnh hưởng phẩm chất vật phẩm chế tạo.
影响炼器时的速度，炼器产品的质量，炼器成功率以及炼器品阶加成。	Ảnh hưởng tốc độ luyện khí, chất lượng sản phẩm luyện khí, xác suất thành công và phẩm giai tăng thêm.
影响进入内门时，御物，术法，护体的初始等级。	Ảnh hưởng đẳng cấp bắt đầu của, ngự vật, Thuật pháp, hộ thể của nhân vật.
影响岐黄，巧匠技巧，在进入内门时转化为炼丹，炼器的比例。	Ảnh hưởng dược kỹ, xảo tượng, khi tiến nhập nội môn thì chuyển hóa thành tỉ lệ luyện đan, luyện khí.
影响角色驾驭法宝的能力。	Ảnh hưởng năng lực khống chế pháp bảo của nhân vật.
影响角色施展咒法的能力。	Ảnh hưởng năng lực thi triển chú pháp.
影响角色灵气抵挡伤害的能力。	Ảnh hưởng linh khí đề kháng sát thương của nhân vật.
影响制药速度，治疗外门伤的疗效等	Ảnh hưởng tốc độ chế dược, hiệu quả trị liệu thương thế bên ngoài
影响制作物品速度，制作物品品质等。	Ảnh hưởng tốc độ chế tạo vật phẩm, phẩm chất vật phẩm chế tạo.
春	Xuân
夏	Hạ
秋	Thu
冬	Đông
思	Tư
长孙	Trưởng Tôn
山	Sơn
闻人	Văn Nhân
玉	Ngọc
隋	Tùy
文烟	Văn Yên
