Key	Value
[NAME]掳走了几个凡人。幸运的是，此事滴水不漏，无人察觉。	[NAME] bắt cóc vài phàm nhân . May mắn là, hành sự trót lọt , không ai hay biết .
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，宣扬开来。	[NAME] bắt cóc vài phàm nhân . Xui xẻo là , việc này đã để lộ ra chút tin đồn, truyền đi.
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，竟然被一伙正派人士知晓，竟然一路追索，找上门来。	[NAME] bắt cóc vài phàm nhân . Xui xẻo là , việc này đã để lộ ra chút tin đồn, bị đám nhân sĩ chính phái biết được , một đường đuổi đánh , tìm tới cửa .
[SCHOOL]的弟子见到[NAME]连忙上来拜见，[NAME]心情不错，顺手指点了这些晚辈一些修为上的事。分别时，[SCHOOL]的弟子恭敬的邀请你来他们门派做客。	[SCHOOL] đệ tử nhìn thấy [NAME] Vội vàng đi lên bái kiến, [NAME] tâm trạng không sai, thuận tay chỉ bảo những vãn bối này một chút chuyện tinh tiến tu vi. Lúc ly biệt, [SCHOOL] đệ tử cung kính mời ngươi tới môn phái của bọn họ làm khách.
[NAME]和[SCHOOL]的弟子热情的交谈，双方一起到附近有名的酒楼畅饮一番。临分别时，[SCHOOL]的弟子硬是送了你一些当地特产的礼物，并邀请你有空再来[SCHOOL]转转。	[NAME] cùng [SCHOOL] đệ tử nhiệt tình nói chuyện với nhau, song phương cùng đến quán rượu nổi danh ở gần đó uống một phen. Trước lúc ly biệt, [SCHOOL] đệ tử kiên cường đưa ngươi một món quà đặc sản nơi này, đồng thời mời ngươi rảnh rỗi lại đến [SCHOOL] đi dạo.
[NAME]和[SCHOOL]的弟子打了声招呼，大家在路边聊了聊修行界最近发生的趣事，并约好下次互相拜访。	[NAME] cùng [SCHOOL] đệ tử lên tiếng chào hỏi, mọi người ở ven đường hàn huyên những chuyện thú vị xảy ra gần đây ở tu hành gới, đồng thời hẹn lần sau bái phỏng lẫn nhau.
[NAME]对[SCHOOL]的弟子点头示意，对方看了[NAME]一眼，也点了点头。	[NAME] đối với [SCHOOL] đệ tử gật đầu ra hiệu, đối phương nhìn [NAME] một cái, cũng nhẹ gật đầu.
[SCHOOL]的弟子很愤怒，并放出狠话让[NAME]和他的宗门最近小心点。	[SCHOOL] đệ tử rất phẫn nộ, đồng thời nói ra ngoan thoại khiến cho [NAME] Cẩn thận một chút với tông môn của hắn ở gần đây.
[SCHOOL]的弟子很诧异的看了[NAME]一眼，不知道为何他会说出这无礼的言论。	[SCHOOL] đệ tử rất kinh ngạc nhìn [NAME] một cái, không biết vì sao hắn dám nói lời lẽ vô lễ này.
[SCHOOL]的弟子冷笑两声，掏出法宝向[NAME]发起了攻击。[NAME]考虑身处敌人门派所在地，不欲恋战，施了个手法脱身而去。	[SCHOOL] đệ tử cười lạnh hai tiếng, lấy ra pháp bảo hướng về phía [NAME] Phát động công kích. [NAME] Do dự vì thân đang ở chỗ môn phái địch nhân, không muốn tham chiến, làm một cái thủ pháp thoát thân.
[SCHOOL]的弟子勃然大怒，掏出法宝准备动手，但似乎顾忌什么，最终留下狠话悻悻离开。	[SCHOOL] đệ tử giận tím mặt, lấy ra pháp bảo chuẩn bị động thủ, nhưng tựa hồ cố kỵ cái gì, cuối cùng chỉ có thể tiếc nuối rời đi.
[NAME]忙于赶路，匆匆离去了。	[NAME] Bận bịu lên dường, vội vàng rời đi.
[SCHOOL]的弟子上来跟[NAME]打了个招呼，却见[NAME]神色冷漠的匆匆离去，心中略有不满。	[SCHOOL] đệ tử cùng lên [NAME] bắt chuyện với nhau, đã thấy [NAME] Thần sắc lạnh lùng vội vàng rời đi, trong lòng hơi có bất mãn.
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	[SCHOOL] đệ tử giận tím mặt, xuất ra pháp bảo chém về phía [NAME]. [NAME] Lấy một đối nhiều, không chút hoang mang, thi triển kiếm pháp sư môn sở truyền để đối địch. Trong lúc nhất thời kiếm khí tung hoành khắp trời.
[NAME]技高一筹，瞅准一个破绽，将对方领头的弟子一剑枭首，对方溃败，作鸟兽散。	[NAME] Cao hơn một bậc, nhìn chuẩn một sơ hở, một kiếm đem dẫn đầu đệ tử của đối phương bêu đầu, đối phương tan tác, tan tác như chim muông.
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]也祭出法宝对敌，双方战作一团。	[SCHOOL] đệ tử giận tím mặt, xuất ra pháp bảo chém về phía [NAME]. [NAME] Cũng xuất pháp bảo ra đối địch, song phương chiến thành một đoàn.
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[NAME]慌乱中夺路逃窜，虽然中了对方两招，但顺利逃脱了性命。	Song phương đấu mấy hiệp, [NAME] Cảm giác linh khí không đủ, nhất thời sơ sẩy bị đối phương phá pháp thuật. [NAME] Trong lúc bối rối cướp đường chạy trốn, mặc dù trúng hai chiêu của đối phương, nhưng thuận lợi đào thoát tính mệnh.
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	[SCHOOL] đệ tử giận tím mặt, phất tay thả ra bảy tám đạo âm trầm kiếm quang hướng về phía [NAME] Đánh tới. [NAME] Lấy một đối nhiều, không chút hoang mang, thi triển kiếm pháp sư môn sở truyền để đối địch. Trong lúc nhất thời kiếm khí tung hoành khắp trời.
