ID	Name	Desc
ID	Danh tự	Miêu tả
1	Học sinh tư thục	[NAME] Tuổi thơ trải qua giáo dục văn hóa đầy dủ. Trải qua giáo dục trong trường tư thục khiến [IT] lý giải rất nhiều tri thức, cũng khiến cho [IT] tràn đầy vẻ hào hoa phong nhã của người tri thức.
2	Vương tử	[NAME] Sinh ở một tiểu sơn thôn, từ nhỏ đã phá phách gây sự, lại có năng lực lãnh đạo. [IT] thường xuyên dẫn một đám trẻ chơi đùa khắp nơi, và đánh nhau cùng đám trẻ thôn bên cạnh.
3	Trẻ mồ côi	[NAME] Từ nhỏ đã mồ côi, lang thang mà sống. Cuộc sống gian khổ [IT] Phản ứng và thể chất vượt qua đồng lứa.
4	Trẻ mất trí	[NAME] Khi còn bé ký ức toàn bộ trống không, mỗi khi [IT] Cố gắng nhớ lại, đều bị cơn đau đầu cắt ngang. Vì tìm kiếm chân tướng, [NAME] Bỏ ra rất nhiều công sức nghiên cứu tài liệu lịch sử và truyền thuyết, mặc dù đến nay vẫn không tìm được nguyên nhân, nhưng mà những kiến thức này chí ít khiến [IT] nắm giữ nhiều đề tài trò chuyện phong phú.
5	Đại thiếu gia	[NAME] Là trưởng tử phú hộ, hưởng thụ tuổi thơ xa hoa. [IT] Chưa từng làm việc nặng, tiếp thu giáo dục đầy đủ và toàn diện.
6	Đại tiểu thư	[NAME] Là trưởng nữ phú hộ, hưởng thụ tuổi thơ xa hoa. [IT] Chưa từng làm việc nặng, tiếp thu giáo dục đầy đủ và toàn diện.
7	Dòng dõi nho gia	[NAME] Sinh ra ở thư hương môn đệ, từ nhỏ đã tiếp nhận văn hóa khai trí. Thế nhưng vũ văn lộng mặc lâu dài cũng làm cho [NAME] thiếu hụt rèn luyện, thân thể tương đối gầy yếu.
8	Võ lâm thế gia	[NAME] Xuất thân võ thuật thế gia, từ nhỏ đã chịu nghiêm khắc huấn luyện. Mưa dầm thấm đất, đối với chiến đấu lĩnh ngộ phi thường sâu sắc.
9	Sát thủ thiếu niên	[NAME] Là cô nhi, thời thơ ấu bị tổ chức sát thủ thu dưỡng, liên tục tiếp nhận lãnh huyết mà tàn khốc huấn luyện sát thủ. Đến lúc tổ chức sát thủ bị diệt thì mới thoát ly.
10	Thanh lâu hài đồng	[NAME] Sinh ra ở lầu xanh, không biết phụ thân là ai. Từ nhỏ tự lần mò mưu sinh ở chợ [IT] càng hiểu được quy tắc sinh tồn.
11	Công tượng gia đình	[NAME] lớn lên trong gia đình thủ nghệ nhân, mưa dầm thấm đất, [IT] từ nhỏ đã thích động tay làm một ít việc nhỏ.
12	Đồ tể trẻ tuổi	[NAME] lớn trong gia đình đồ tể, [IT] có nhiều lúc cũng giúp đỡ làm việc trong nhà. Những kinh nghiệm này khiến [IT] vừa khỏe vừa ác.
13	Nông gia trưởng tử	[NAME] Là trưởng tử của một nông gia, gia đình khó khăn khiến [IT] từ nhỏ đã rất hiểu chuyện, đủ khả năng tham gia lao động.
14	Lang trung học đồ	[NAME] từ nhỏ đi theo thầy lang vân du bốn phương mà lớn lên, [IT] nhóm đi từ nam đến bắc, đi qua rất nhiều nơi. Những kinh nghiệm này khiến [IT] kiến thức rộng rãi.
15	Quan lại thế gia	[NAME] Xuất thân gia đình quan lại, thường xuyên nhìn thấy tranh đấu quyền lực hư tình giả ý. [IT] Tử nhỏ đã đặc biệt am hiểu chiếm được hảo cảm người khác, nhưng cũng chưa bao giờ thổ lộ tâm trạng.
16	Quan tinh giả	[NAME] Sinh ra ở một gia đình làm quan xem thiên văn, chịu ảnh hưởng từ phụ thân, [IT] Từ nhỏ đã thấy hứng thú với tinh tượng. Vì thế [IT] tuổi thơ đắm chìm trong tinh đồ cùng lý luân trong thư tịch.
17	Du lịch xuyên quốc	[NAME] có phụ thân là sứ giả triều đình đi sứ Tây Vực, [IT] Thường xuyên đi theo phụ thân du lịch các nước, việc này khiến [IT] Đối với thế giới tràn ngập hứng thú và chờ mong.
18	Luyến đồng	[NAME] Là luyến đồng do phú hộ nuôi dưỡng, trải qua tuổi thơ như vậy khiến [IT] nội tâm đối với quan hệ thân mật giữa nam và nữ cảm thấy sợ hãi.
